model_nm,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,rpt_dt,sales_through_dt
BOLT EUV C121                 ,-7,14,3,9,10,9,5,3,0,0,0,0,8/20/2023,8/19/2023
CAMARO A1AC CONV              ,0,2,1,0,1,2,0,1,0,0,0,0,8/20/2023,8/19/2023
CAMARO A1BC COUPE             ,-1,2,5,4,-17,2,-1,1,0,0,0,0,8/20/2023,8/19/2023
CANYON 31CG2                  ,0,0,0,2,15,30,19,9,0,0,0,0,8/20/2023,8/19/2023
CANYON 31XGN                  ,84,81,82,49,25,7,3,1,0,0,0,0,8/20/2023,8/19/2023
CELESTIQ L246                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/20/2023,8/19/2023
COLORADO 31CC2                ,0,0,15,46,262,367,385,169,0,0,0,0,8/20/2023,8/19/2023
COLORADO 31XCN                ,517,447,190,61,23,2,2,0,0,0,0,0,8/20/2023,8/19/2023
CORVETTE Y200                 ,2,4,9,5,3,3,3,5,0,0,0,0,8/20/2023,8/19/2023
CT4 A2SL                      ,2,4,1,0,1,0,1,0,0,0,0,0,8/20/2023,8/19/2023
CT5 A2LL                      ,2,2,1,2,3,3,0,0,0,0,0,0,8/20/2023,8/19/2023
ENCLAVE C1YB                  ,25,38,18,8,11,13,23,6,0,0,0,0,8/20/2023,8/19/2023
ENCORE GX 9BUB                ,67,52,74,21,78,35,67,13,0,0,0,0,8/20/2023,8/19/2023
ENCORE G1UB                   ,24,36,24,27,12,6,10,-3,0,0,0,0,8/20/2023,8/19/2023
ENVISION E2UB                 ,585,651,971,1113,688,1016,29,0,0,0,0,0,8/20/2023,8/19/2023
ENVISTA 9BQB1                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/20/2023,8/19/2023
EQUINOX D2UC                  ,559,486,471,403,300,264,305,205,0,0,0,0,8/20/2023,8/19/2023
EQUINOX EV C223               ,0,0,0,0,0,0,0,0,0,0,0,0,8/20/2023,8/19/2023
ESCALADE ESV T1YLF            ,-8,-5,6,7,10,8,4,2,0,0,0,0,8/20/2023,8/19/2023
