Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000005|0|0|0|0|SIERRA T1XX DBL                                   |GMC                 |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000003|0|0|0|0|SIERRA T1XX DBL                                   |GMC                 |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|CANYON                                            |GMC                 |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000003|0|0|0|0|COLORADO                                          |CHEVROLET           |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|OSHAWA                                            |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|TAHOE T1XX                                        |CHEVROLET           |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000001|0|0|0|0|SUBURBAN T1XX                                     |CHEVROLET           |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000001|0|0|0|0|YUKON T1XX                                        |GMC                 |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |FLEET     |2023/12/14|2023/12|0000000001|0|0|0|0|YUKON XL T1XX                                     |GMC                 |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |FLEET     |2023/12/14|2023/12|-000000001|0|0|0|0|BLAZER                                            |CHEVROLET           |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000001|0|0|0|0|ESCALADE T1XX                                     |CADILLAC            |TRUCK               |LUXURY SUV               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |FLEET     |2023/12/14|2023/12|0000000001|0|0|0|0|ESCALADE ESV T1XX                                 |CADILLAC            |TRUCK               |LUXURY SUV               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000003|0|0|0|0|BOLT EUV                                          |CHEVROLET           |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |FLEET     |2023/12/14|2023/12|0000000003|0|0|0|0|XT5                                               |CADILLAC            |TRUCK               |LUXURY SUV               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|XT5                                               |CADILLAC            |TRUCK               |LUXURY SUV               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000005|0|0|0|0|ENVISTA                                           |BUICK               |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000000|0|0|0|0|CT4                                               |CADILLAC            |CAR                 |LUXURY CAR               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000001|0|0|0|0|XT6                                               |CADILLAC            |TRUCK               |LUXURY SUV               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000007|0|0|0|0|CHEV T1XX CREW                                    |CHEVROLET           |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|SILVERADO T1XX DBL                                |CHEVROLET           |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000001|0|0|0|0|SILVERADO T1XX REG                                |CHEVROLET           |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000027|0|0|0|0|GMC T1XX 1500 CREW                                |GMC                 |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000041|0|0|0|0|GMC T1XX 1500 CREW                                |GMC                 |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
