"DSC_CTY"|"COD_DAY"|"SHT_COD_MNT"|"DSC_ENG_GRP_RNV"|"DSC_OPR_REG"|QTY_LIC_DAY
"BRAZIL"|"2023-11-07"|"11"|"BUS"|"Centro oeste"|7
"BRAZIL"|"2023-11-30"|"11"|"PASSENGER"|"Fortaleza"|435
"BRAZIL"|"2023-11-29"|"11"|"PASSENGER"|"Porto alegre"|496
"BRAZIL"|"2023-11-21"|"11"|"PASSENGER"|"Parana"|345
"BRAZIL"|"2023-11-16"|"11"|"PASSENGER"|"Recife"|484
"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Belo horizonte"|1610
"BRAZIL"|"2023-11-28"|"11"|"PASSENGER"|"Santa catarina"|465
"BRAZIL"|"2023-11-03"|"11"|"PASSENGER"|"Santa catarina"|281
"BRAZIL"|"2023-11-13"|"11"|"PASSENGER"|"Fortaleza"|129
"BRAZIL"|"2023-11-13"|"11"|"LIGHT COMMERCIAL"|"Belem"|150
"BRAZIL"|"2023-11-29"|"11"|"LIGHT COMMERCIAL"|"Rio de janeiro"|73
"BRAZIL"|"2023-11-17"|"11"|"PASSENGER"|"Interior paulista a"|383
"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Belem"|193
"BRAZIL"|"2023-11-22"|"11"|"TRUCKS"|"Belem"|25
